Ranking,Rating,Titles
1,95%,Nomadland (2021)
2,93%,Judas and the Black Messiah (2021)
3,88%,The Father (2021)
4,95%,In the Heights (2021)
5,88%,Raya and the Last Dragon (2021)
6,92%,"Summer of Soul (...Or, When the Revolution Could Not Be Televised) (2021)"
7,29%,The Mitchells vs. The Machines (2021)
8,100%,A Quiet Place Part II (2021)
9,100%,MLK/FBI (2021)
10,98%,Shiva Baby (2021)
11,100%,"Quo Vadis, Aida? (2021)"
12,83%,Identifying Features (Sin Señas Particulares) (2021)
13,86%,Slalom (2021)
14,98%,Luca (2021)
15, 94%,The Paper Tigers (2021)
16, 96%,Two of Us (Deux) (2021)
17, 98%,The Sparks Brothers (2021)
18, 95%,Billie Eilish: The World's a Little Blurry (2021)
19, 95%,Rita Moreno: Just a Girl Who Decided to Go For It (2021)
20, 99%,My Heart Can't Beat Unless You Tell It To (2021)
21, 98%,Drunk Bus (2021)
22, 91%,Hope (Håp) (2021)
23, 99%,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train (2021)
24, 97%,The Reason I Jump (2021)
25, 100%,CODA (2021)
26, 100%,Riders of Justice (2021)
27, 100%,Street Gang: How We Got to Sesame Street (2021)
28, 90%,Plan B (2021)
29, 98%,Herself (2021)
30, 97%,I Carry You with Me (2021)
31, 95%,Stray (2021)
32, 96%,Lapsis (2021)
33, 96%,Dear Comrades! (2021)
34, 98%,Together Together (2021)
35, 98%,The Killing of Two Lovers (2021)
36, 98%,Supernova (2021)
37, 98%,Test Pattern (2021)
38, 97%,In the Same Breath (2021)
39, 95%,Limbo (2021)
40, 95%,Some Kind of Heaven (2021)
41, 95%,Black Widow (2021)
42, 96%,Tina (2021)
43, 93%,Mass (2021)
44, 95%,Nobody (2021)
45, 95%,Truman & Tennessee: An Intimate Conversation (2021)
46, 95%,Spring Blossom (Seize printemps) (2021)
47, 95%,The Vigil (2021)
48, 91%,Holler (2021)
49, 93%,Final Account (2021)
50, 89%,PG: Psycho Goreman (2021)
51, 95%,Little Fish (2021)
52, 95%,Zola (2021)
53, 92%,Days of the Bagnold Summer (2021)
54, 93%,"All Light, Everywhere (2021)"
55, 81%,The Dry (2021)
56, 92%,The Dig (2021)
57, 93%,Cowboys (2021)
58, 84%,Censor (2021)
59, 93%,Rams (2021)
60, 93%,Dream Horse (2021)
61, 90%,Fear Street Part Two: 1978 (2021)
62, 92%,Violation (2021)
63, 92%,Godzilla vs. Kong (2021)
64, 91%,Oxygen (2021)
65, 91%,Les nôtres (2021)
66, 87%,Preparations to be Together for an Unknown Period of Time (2021)
67, 92%,Werewolves Within (2021)
68, 92%,Operation Varsity Blues: The College Admissions Scandal (2021)
69, 90%,Cruella (2021)
70, 87%,The Djinn (2021)
71, 91%,Come True (2021)
72, 88%,Passing (2021)
73, 91%,On the Count of Three (2021)
74, 88%,Jakob's Wife (2021)
75, 91%,I Care a Lot (2021)
76, 88%,Barb & Star Go to Vista Del Mar (2021)
77, 76%,In The Earth (2021)
78, 88%,Bloodthirsty (2021)
79, 90%,Akilla's Escape (2021)
80, 89%,The Power (2021)
81, 86%,Concrete Cowboy (2021)
82, 88%,Notturno (2021)
83, 74%,The Mauritanian (2021)
84, 87%,Cliff Walkers (2021)
85, 86%,Zack Snyder's Justice League (2021)
86, 86%,Fear Street Part One: 1994 (2021)
87, 85%,Summer of 85 (Été 85) (2021)
88, 84%,The Night (2021)
89, 78%,Shadow in the Cloud (2021)
90, 79%,Gaia (2021)
91, 79%,Knocking (2021)
92, 84%,Stowaway (2021)
93, 84%,To All The Boys: Always And Forever (2021)
94, 83%,The Water Man (2021)
95, 80%,The Map of Tiny Perfect Things (2021)
96, 82%,Army Of The Dead (2021)
97, 75%,Prisoners of the Ghostland (2021)
98, 82%,Eight for Silver (2021)
99, 71%,Jumbo (2021)
100, 80%,Pixie (2021)
